﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:6tvd5KHgUKvBvZWuT9OZe4","Words","F.R. David","Call Me By Your Name (Original Motion Picture Soundtrack)","1","11","207582","spotify:user:12169871666","2020-02-17T20:16:04Z"
"spotify:track:5gw8HNcrqliEw0X6pPrPvG","Seasons of Love","Rosario Dawson, Taye Diggs, Idina Menzel, Jesse L. Martin, Adam Pascal, Wilson Jermaine Heredia, Anthony Rapp, Tracie Thoms","RENT (Original Motion Picture Soundtrack)","1","1","182746","spotify:user:12169871666","2020-02-17T20:16:15Z"
"spotify:track:0E1NL6gkv5aQKGNjJfBE3A","Take Me or Leave Me","Idina Menzel, Tracie Thoms","RENT (Original Motion Picture Soundtrack)","1","19","231360","spotify:user:12169871666","2020-02-17T20:16:26Z"
"spotify:track:5dJSrn1RKceOPDyb4DAe4w","Hooked On A Feeling","Blue Swede","Reservoir Dogs (Original Motion Picture Soundtrack)","1","4","173760","spotify:user:12169871666","2020-02-17T20:16:50Z"
"spotify:track:6fvIzrJ6boUDFF19fH4S2s","Gotta Get Up - As heard in the Netflix series Russian Doll","Harry Nilsson","Nilsson Schmilsson","1","1","144893","spotify:user:12169871666","2020-02-17T20:17:20Z"
"spotify:track:3HsBtrErYQjxf4Pv2p05Oy","Sing A Happy Song","The O'Jays","Identify Yourself","1","1","299933","spotify:user:12169871666","2020-02-17T20:18:10Z"
"spotify:track:2SAv4Ivx2JfOOZrX4KnIjm","Toxic","The Bellas","Pitch Perfect 3 (Original Motion Picture Soundtrack)","1","2","201613","spotify:user:12169871666","2020-02-17T20:18:39Z"
"spotify:track:7iaXz5mLoPeoX2JVWQN2OC","Lollipop - From "Pitch Perfect 2" Soundtrack","The Treblemakers","Pitch Perfect 2 - Special Edition (Original Motion Picture Soundtrack)","1","4","163173","spotify:user:12169871666","2020-02-17T20:19:23Z"
"spotify:track:2Wzj9xKdzuaTI6jOj5VPG1","Elevate (feat. Denzel Curry, YBN Cordae, SwaVay, Trevor Rich)","DJ Khalil, Denzel Curry, YBN Cordae, Swavay, Trevor Rich","Spider-Man: Into the Spider-Verse (Deluxe Edition / Soundtrack From & Inspired By The Motion Picture)","1","12","219400","spotify:user:12169871666","2020-02-17T20:19:49Z"
"spotify:track:4YbslGpDoOgJgH8wqSdfaP","Garbage Truck","Sex Bob-Omb","Scott Pilgrim vs. the World (Original Motion Picture Soundtrack)","1","8","103880","spotify:user:12169871666","2020-02-17T20:20:30Z"
"spotify:track:1CBQ8XGwcu7BcsT8iByvwE","Black Sheep","Metric","Scott Pilgrim vs. the World (Original Motion Picture Soundtrack)","1","12","295533","spotify:user:12169871666","2020-02-17T20:20:40Z"
"spotify:track:5pyTW9ph8A0ZSx7hzpSNge","Agony","Chris Pine, Billy Magnussen","Into the Woods (Original Motion Picture Soundtrack/Deluxe Edition)","1","18","152866","spotify:user:12169871666","2020-02-17T20:21:10Z"
"spotify:track:6ZxPYutGhjLTrcmvcshCa4","Arabian Nights (2019)","Will Smith","Aladdin (Original Motion Picture Soundtrack)","1","1","193096","spotify:user:12169871666","2020-02-17T20:22:12Z"
"spotify:track:1vl4d9Esm66ctec8eIkyj2","Action Reaction","Rupert Gregson-Williams","Wonder Woman (Original Motion Picture Soundtrack)","1","14","354360","spotify:user:12169871666","2020-02-17T20:23:10Z"
"spotify:track:2gSyc23Hua25fqSFpgAh6W","Say My Name","Destiny's Child","The Writing's On The Wall","1","12","271333","spotify:user:12169871666","2020-02-17T20:27:29Z"
"spotify:track:0trQzsapWGkRe5flRAeXhH","Le Sens de la vie","TAL","Le Droit De Rêver","1","3","208533","spotify:user:12169871666","2020-02-17T20:27:39Z"
"spotify:track:5uE8fAdqnWf7m610F9s1Pq","US Boy","Jena Lee","Ma Référence","1","2","217466","spotify:user:12169871666","2020-02-17T20:30:04Z"
"spotify:track:6e40mgJiCid5HRAGrbpGA6","I Want It That Way","Backstreet Boys","The Hits--Chapter One","1","1","213600","spotify:user:12169871666","2020-02-17T20:30:54Z"
"spotify:track:0bYg9bo50gSsH3LtXe2SQn","All I Want for Christmas Is You","Mariah Carey","Merry Christmas","1","2","241106","spotify:user:12169871666","2020-02-17T20:31:08Z"
"spotify:track:4j3obTRIyR7QzvdeQz9vaO","Babies","Pulp","His N Hers","1","5","244826","spotify:user:12169871666","2020-02-17T20:31:38Z"
"spotify:track:3tyTt5pEWblt96j1HsXiV5","Freedom! '90 - Remastered","George Michael","Listen Without Prejudice / MTV Unplugged (Deluxe)","1","2","390861","spotify:user:12169871666","2020-02-17T20:31:46Z"
"spotify:track:2ihCaVdNZmnHZWt0fvAM7B","Little Talks","Of Monsters and Men","My Head Is An Animal","1","6","266600","spotify:user:12169871666","2020-02-17T20:32:30Z"
"spotify:track:3DmW6y7wTEYHJZlLo1r6XJ","Shower","Becky G","Shower","1","1","206166","spotify:user:12169871666","2020-02-17T20:32:53Z"
"spotify:track:1jdNcAD8Ir58RlsdGjJJdx","Ho Hey","The Lumineers","The Lumineers","1","5","161226","spotify:user:12169871666","2020-02-17T20:33:05Z"
"spotify:track:34xZFT7artr3SGqgSoR88L","Complicated","Avril Lavigne","Let Go","1","2","244506","spotify:user:12169871666","2020-02-17T20:33:42Z"
"spotify:track:0047CfWoMPpXkZlizPQAb2","Rich Girl","Gwen Stefani, Eve","Love Angel Music Baby","1","2","236213","spotify:user:12169871666","2020-02-17T20:34:30Z"
"spotify:track:135ArLV1euyyeegU9D8HVR","Army Dreamers - 2018 Remaster","Kate Bush","Never for Ever (2018 Remaster)","1","10","179160","spotify:user:12169871666","2020-02-17T20:36:06Z"
"spotify:track:0C2eEsMBj78CLkHNJPjohc","Boys Don't Cry","The Cure","Greatest Hits","1","1","161200","spotify:user:12169871666","2020-02-17T20:36:56Z"
"spotify:track:60HDLY1Dh2Hy9wTVI3WPzO","Every Little Thing She Does Is Magic - Remastered 2003","The Police","Ghost In The Machine (Remastered)","1","2","259500","spotify:user:12169871666","2020-02-17T20:37:25Z"
"spotify:track:5prTs2HAw2G4idHZyeFp8o","Total Eclipse of the Heart","Bonnie Tyler","The Very Best Of Bonnie Tyler","1","6","269786","spotify:user:12169871666","2020-02-17T20:37:37Z"
"spotify:track:2fuCquhmrzHpu5xcA1ci9x","Under Pressure - Remastered","Queen, David Bowie","Hot Space (2011 Remaster)","1","11","248440","spotify:user:12169871666","2020-02-17T20:38:02Z"
"spotify:track:62cFivJR4IOpaNytZ9X6UQ","Crush on You","Bruce Springsteen","The River","1","8","191093","spotify:user:12169871666","2020-02-17T20:39:04Z"
"spotify:track:7HW5WIw7ZgZORCzUxv5gW5","Don't Go Breaking My Heart","Elton John, Kiki Dee","Rock Of The Westies","1","10","275440","spotify:user:12169871666","2020-02-17T20:39:33Z"
"spotify:track:6RMo3zv9VjmcGi4V5O3cOL","Please Mr. Postman","Carpenters","Horizon","1","4","172733","spotify:user:12169871666","2020-02-17T20:40:01Z"
"spotify:track:0lIoY4ZQsdn5QzhraM9o9u","Because the Night","Patti Smith","Easter","1","3","204800","spotify:user:12169871666","2020-02-17T20:40:29Z"
"spotify:track:1i6N76fftMZhijOzFQ5ZtL","Psycho Killer - 2005 Remaster","Talking Heads","Talking Heads '77 (Deluxe Version)","1","10","261413","spotify:user:12169871666","2020-02-17T20:40:38Z"
"spotify:track:1HOMkjp0nHMaTnfAkslCQj","My Sharona","The Knack","Get The Knack","1","7","295400","spotify:user:12169871666","2020-02-17T20:40:47Z"
